outcome,model,coef,se,p,F_or_firststage_F,N
schooling,first_stage,.5389918958928526,.13208535,.00025684069,16.651569,64662
any_ipv,reduced_form,-.0421100430548829,.015176847,.0089137303,7.6985378,50561
any_ipv,iv,-.127684617123997,.097808935,.20050506,1.3781117,50561
less_severe_violence,reduced_form,-.0322437015895973,.018837679,.096068531,2.92978,50561
less_severe_violence,iv,-.0977682375380687,.067420371,.1561856,1.3781117,50561
severe_violence,reduced_form,-.0274766896136097,.012043989,.028910959,5.2046084,50561
severe_violence,iv,-.0833138685841801,.07369642,.26617718,1.3781117,50561
sexual_violence,reduced_form,-.016551304484962,.0092269648,.081743695,3.2177088,50561
sexual_violence,iv,-.0501862934053688,.048877407,.3117744,1.3781117,50561
emotional_violence,reduced_form,-.0223216098284034,.016248057,.17849369,1.8873316,50561
emotional_violence,iv,-.0676828138317575,.074307129,.36878604,1.3781117,50561
