outcome,coef,se,p,firststage_F,N
z_attitudes,.034227764222656,.022690173,.14066792,11.688242,96609
decision_health_care,-.0076419163075985,.029130846,.79464942,10.290479,65834
decision_household_purchases,.0243313742054719,.022722963,.29180941,10.290479,65834
decision_family_visits,.0332408911438055,.026352864,.2157592,10.290479,65834
decision_husband_money,-.0125803820799957,.02749091,.65013677,11.967521,63888
decision_own_earning,-.0119225167373572,.04449806,.79036939,7.8776131,12243
mother_violence,.006083373527558,.010965565,.58268303,16.520273,62463
read_newspaper,.03105920838875,.017805131,.090125233,24.049297,570484
bank_account,-.0271846999820024,.045144495,.55105543,12.087762,97024
use_mobile,-.0839085288498007,.046423331,.079544902,12.087762,97024
read_text,.0207304671413413,.02581053,.42745093,3.8020887,70849
