outcome,model,coef,se,p,N
beat_out_withoutpermission,OLS,-.009447587648014,.00095879013,1.6993181e-11,96137
beat_out_withoutpermission,Reduced form,.0140373973928495,.011677861,.23764887,96137
beat_neglectchild,OLS,-.0090321576419925,.00090936292,1.3874482e-11,96131
beat_neglectchild,Reduced form,.0188055176756025,.010669635,.086968772,96131
beat_argue_husband,OLS,-.0102013752713195,.00085566012,1.0772406e-13,95948
beat_argue_husband,Reduced form,.0177650148009512,.010306337,.093845941,95948
beat_refuse_sex,OLS,-.0060810666091955,.00057051907,2.2205159e-12,95453
beat_refuse_sex,Reduced form,.0118122498928267,.0086658886,.18181859,95453
beat_burn_food,OLS,-.0076602327544073,.00062447024,4.8844480e-14,96189
beat_burn_food,Reduced form,.0126582528213735,.0080676572,.12590612,96189
z_attitudes,OLS,-.0084734637520681,.00072093052,1.5951493e-13,96609
z_attitudes,Reduced form,.0157583186359783,.008276239,.065395556,96609
