outcome,coef,se,p,firststage_F,N
z_attitudes,.117414044411001,.16154401,.47245857,.78500187,45312
beat_out_withoutpermission,.0719323128286133,.13219762,.59001189,.77479082,45130
beat_neglectchild,.2078944332032896,.25927198,.42838252,.80260694,45130
beat_argue_husband,.1280291551226605,.16908073,.45429865,.82040602,45071
beat_refuse_sex,.0896132777827131,.11740229,.45070663,.97763699,44906
beat_burn_food,.0587636079366524,.12289677,.63569295,.78927904,45168
read_newspaper,.0435648116040962,.012194044,.0011110757,34.598145,303327
bank_account,.0666223391245021,.11666997,.57184625,.76472163,45476
use_mobile,-.1001911032707206,.15951501,.5342626,.76472163,45476
read_text,-.093290028526736,.093971752,.32805791,.76472163,45476
