outcome,coef,se,p,N
z_attitudes,.019293015463462,.011847589,.11294409,45312
beat_out_withoutpermission,.011729273486838,.017333224,.5033167,45130
beat_neglectchild,.0345267877725471,.012306312,.0083571784,45130
beat_argue_husband,.0218385183452615,.012734086,.095729314,45071
beat_refuse_sex,.0165245223228637,.010329415,.11918489,44906
beat_burn_food,.0095991404031978,.013928488,.49553183,45168
read_newspaper,.0170175893929716,.005400301,.003448325,303327
bank_account,.0108386626579048,.019626062,.5844925,45476
use_mobile,-.0162999015637276,.011964514,.18231289,45476
read_text,-.0151771787336642,.0070696822,.039252535,45476
